Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2019,04,09,33.6,1,Y
IDCJAC0010,009225,2019,04,10,27.8,1,Y
IDCJAC0010,009225,2019,04,11,25.0,1,Y
IDCJAC0010,009225,2019,04,12,27.7,1,Y
IDCJAC0010,009225,2019,04,13,28.8,1,Y
IDCJAC0010,009225,2019,04,14,22.8,1,Y
IDCJAC0010,009225,2019,04,15,22.3,1,Y
IDCJAC0010,009225,2019,04,16,22.7,1,Y
IDCJAC0010,009225,2019,04,17,22.3,1,Y
IDCJAC0010,009225,2019,04,18,24.0,1,Y
IDCJAC0010,009225,2019,04,19,17.1,1,Y
IDCJAC0010,009225,2019,04,20,18.4,1,Y
IDCJAC0010,009225,2019,04,21,22.9,1,Y
IDCJAC0010,009225,2019,04,22,25.1,1,Y
IDCJAC0010,009225,2019,04,23,27.4,1,Y
IDCJAC0010,009225,2019,04,24,28.5,1,Y
IDCJAC0010,009225,2019,04,25,28.8,1,Y
IDCJAC0010,009225,2019,04,26,28.1,1,Y
IDCJAC0010,009225,2019,04,27,28.9,1,Y
IDCJAC0010,009225,2019,04,28,30.5,1,Y
IDCJAC0010,009225,2019,04,29,21.7,1,Y
IDCJAC0010,009225,2019,04,30,20.6,1,Y
IDCJAC0010,009225,2019,05,01,18.0,1,Y
IDCJAC0010,009225,2019,05,02,19.6,1,Y
IDCJAC0010,009225,2019,05,03,27.1,1,Y
IDCJAC0010,009225,2019,05,04,24.0,1,Y
IDCJAC0010,009225,2019,05,05,22.0,1,Y
IDCJAC0010,009225,2019,05,06,20.4,1,Y
IDCJAC0010,009225,2019,05,07,21.3,1,Y
IDCJAC0010,009225,2019,05,08,22.2,1,Y
IDCJAC0010,009225,2019,05,09,22.4,1,Y
IDCJAC0010,009225,2019,05,10,24.2,1,Y
IDCJAC0010,009225,2019,05,11,24.0,1,Y
IDCJAC0010,009225,2019,05,12,24.9,1,Y
IDCJAC0010,009225,2019,05,13,22.3,1,Y
IDCJAC0010,009225,2019,05,14,28.0,1,Y
IDCJAC0010,009225,2019,05,15,27.6,1,Y
IDCJAC0010,009225,2019,05,16,18.0,1,Y
IDCJAC0010,009225,2019,05,17,16.7,1,Y
IDCJAC0010,009225,2019,05,18,17.4,1,Y
IDCJAC0010,009225,2019,05,19,21.2,1,Y
IDCJAC0010,009225,2019,05,20,20.9,1,Y
IDCJAC0010,009225,2019,05,21,20.8,1,Y
IDCJAC0010,009225,2019,05,22,21.8,1,Y
IDCJAC0010,009225,2019,05,23,21.2,1,Y
IDCJAC0010,009225,2019,05,24,21.1,1,Y
IDCJAC0010,009225,2019,05,25,20.5,1,Y
IDCJAC0010,009225,2019,05,26,21.7,1,Y
IDCJAC0010,009225,2019,05,27,22.1,1,Y
IDCJAC0010,009225,2019,05,28,23.3,1,Y
IDCJAC0010,009225,2019,05,29,23.3,1,Y
IDCJAC0010,009225,2019,05,30,23.6,1,Y
IDCJAC0010,009225,2019,05,31,26.5,1,Y
IDCJAC0010,009225,2019,06,01,25.5,1,N
IDCJAC0010,009225,2019,06,02,24.5,1,N
IDCJAC0010,009225,2019,06,03,23.9,1,N
IDCJAC0010,009225,2019,06,04,22.8,1,N
IDCJAC0010,009225,2019,06,05,23.0,1,N
IDCJAC0010,009225,2019,06,06,22.8,1,N
IDCJAC0010,009225,2019,06,07,19.4,1,N
IDCJAC0010,009225,2019,06,08,19.0,1,N
IDCJAC0010,009225,2019,06,09,17.5,1,N
IDCJAC0010,009225,2019,06,10,19.4,1,N
IDCJAC0010,009225,2019,06,11,15.7,1,N
IDCJAC0010,009225,2019,06,12,18.2,1,N
IDCJAC0010,009225,2019,06,13,19.7,1,N
IDCJAC0010,009225,2019,06,14,17.6,1,N
IDCJAC0010,009225,2019,06,15,18.6,1,N
IDCJAC0010,009225,2019,06,16,18.1,1,N
IDCJAC0010,009225,2019,06,17,17.3,1,N
IDCJAC0010,009225,2019,06,18,,,
IDCJAC0010,009225,2019,06,19,18.9,1,N
IDCJAC0010,009225,2019,06,20,19.7,1,N
IDCJAC0010,009225,2019,06,21,24.5,1,N
IDCJAC0010,009225,2019,06,22,21.3,1,N
IDCJAC0010,009225,2019,06,23,19.9,1,N
IDCJAC0010,009225,2019,06,24,19.8,1,N
IDCJAC0010,009225,2019,06,25,21.0,1,N
IDCJAC0010,009225,2019,06,26,20.1,1,N
IDCJAC0010,009225,2019,06,27,17.5,1,N
IDCJAC0010,009225,2019,06,28,15.8,1,N
IDCJAC0010,009225,2019,06,29,16.8,1,N
IDCJAC0010,009225,2019,06,30,16.0,1,N
IDCJAC0010,009225,2019,07,01,20.2,1,N
IDCJAC0010,009225,2019,07,02,20.6,1,N
IDCJAC0010,009225,2019,07,03,21.7,1,N
IDCJAC0010,009225,2019,07,04,19.1,1,N
IDCJAC0010,009225,2019,07,05,13.5,1,N
IDCJAC0010,009225,2019,07,06,18.2,1,N
IDCJAC0010,009225,2019,07,07,19.2,1,N
